uuid,url,title,page,status,text,canvas
f507d897-ba90-43b8-94e6-87418a5abcfc,https://honkoku.org/app/#/transcription/F0ECA62FE9FB9B8369409F8912889469/1/,富士山諸人参詣之図,1,completed,"【タイトル】
冨士山（ふじさん）諸人（しよにん）参詣（さんけい）之（の）図（ず）
【左右二図構成】
【本文なし】
",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f507d897-ba90-43b8-94e6-87418a5abcfc/canvas/p1
f507d897-ba90-43b8-94e6-87418a5abcfc,https://honkoku.org/app/#/transcription/F0ECA62FE9FB9B8369409F8912889469/1/,富士山諸人参詣之図,2,completed,"【タイトル・本文なし】
【左右二図構成、右図はコマ一の左図に同じ】
",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f507d897-ba90-43b8-94e6-87418a5abcfc/canvas/p2
aa5a4977-a5bf-4d87-a52d-dea76a1d3b63,https://honkoku.org/app/#/transcription/7FCC242DA00783C1AFBA45B724669BE9/1/,ゑんまの子のわけ,1,completed,"【上下二段】
【上段】
【タイトルなし】
「ゑゝ【ゑゝ：小書き】安政二年の十月二日
夜るは四つとすき関八州を
地震〳〵といふこゑ聞けば
吉原大門火事の中
つふれた人は家の中
立喰たち呑
だいど中
けんのんすまゐは
くいの中
つつかひまる太は
まちの中
いたゞく御ぜんは
はらの中
雨露しのぐは
小屋のなかあ【あ：小書き】
ふちやらか【ふちやらか：小書き】
ほえ〳〵【ほえ〳〵：小書き】
【下段】
【タイトル】
ゑんまの子の
　　　　わけ
【本文】
高縄（たかなは）なる御殿山（ごてんやま）に
土持（つちもち）ありしに多く人
集（あつま）りかの土を
荷（にな）ひ運（はこ）ふ中（うち）に
業（わざ）にかしこく
人を扱（あつか）ふものあり
これがかむりものを
拵（こしら）へきせしが其かたち
閻魔王（えんまわう）の冠（かんむり）に似（に）しより
誰（たれ）いふとなくゑんまの子〳〵
と異名（いめう）せしかば又｜地蔵（ぢざう）の子
いふもの出来（いでき）て後（のち）には
土方（どかた）の子などゝ
いひておのづから
流行言（はやりことば）となりぬ
ゑんやらさ【さ：小書き】かけ声に
似たり【り：小書き】ゑんまの子
地蔵にあらで
地形するなり
",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aa5a4977-a5bf-4d87-a52d-dea76a1d3b63/canvas/p1
5c683b2a-dc65-44ee-9e77-ce2b1b62dc52,https://honkoku.org/app/#/transcription/189325CE0E94DD863BEC7A40C34E7843/1/,常陸国鹿嶋社内之図末社略之,1,completed,"
",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5c683b2a-dc65-44ee-9e77-ce2b1b62dc52/canvas/p1
5b57a78b-ddf3-4ca6-b49c-936bf827e2a3,https://honkoku.org/app/#/transcription/A4869307E9C2DDB7B4B8777EB23D2695/1/,伊香保八景（袋）,1,completed,"【表題】
伊香保八景
【扇形色紙】
上毛伊香保古久屋楼
【方形色紙】
橋もと玉蘭斎貞秀古礼を図画とす
　　　宝善堂
【扇面上】
古今集名所の和歌をかふ
【扇面下】
両画
【欄外右下】
上州伊香保湯元
川□木暮八左衛門",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5b57a78b-ddf3-4ca6-b49c-936bf827e2a3/canvas/p1
5b57a78b-ddf3-4ca6-b49c-936bf827e2a3,https://honkoku.org/app/#/transcription/A4869307E9C2DDB7B4B8777EB23D2695/1/,伊香保八景（袋）,2,completed,"【上の絵】
伊香保
八景
上の山の
　　　月

万葉集
伊香保風
　　ふく日
　ふかぬひ
ありといへと
　　　　あか
　　恋のみし
　時なかりけり【表記は鳧か】
　　　　　貞秀画

【下の絵】
伊香保八景
二つ嶽の雪

万葉集
かみつけぬいかほの
　　　　　　　ねろに
　ふろよきの
　　　ゆきすきかたき
　　妹か家のあたり
　　　　　貞秀画

【左の絵の翻刻はコマ３に】",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5b57a78b-ddf3-4ca6-b49c-936bf827e2a3/canvas/p2
5b57a78b-ddf3-4ca6-b49c-936bf827e2a3,https://honkoku.org/app/#/transcription/A4869307E9C2DDB7B4B8777EB23D2695/1/,伊香保八景（袋）,3,completed,"【右側の絵】
伊香保八景
　関屋の蛍
万葉集
伊香保ろに
　天雲いつき
かぬまつく
人を
　おた
　　はふ
いさねしめ
　　とら

貞秀画

【左】
伊香保八景
高根の鹿
万葉集
いかほろの
　やさかの
ゐてに立にし
　　　　の
あらはろ
　まても
さねを
さねては

貞秀画
",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5b57a78b-ddf3-4ca6-b49c-936bf827e2a3/canvas/p3
83ac5ff4-60be-4894-ab4a-3bb46d19ff5a,https://honkoku.org/app/#/transcription/BE1ACEF8BCF0CD863148FBABBCC33178/1/,新吉原仮宅附,1,completed,"【表題】
浅くさ　　　卯霜月より
本所　　新吉原仮宅附
深川　　　　千客万歳
【中央の書き入れ】
　　あさづけ
　　かもぞうに
さるわか三座
　　かざりも継
　　おじぎ
【欄外右上】
　大地真　　江戸中えすくい　江戸中赤
江戸大夫　　江戸中の　　　　江戸ふるい
　□□□    江戸中まハる　　江戸中土
【欄外左上】
千霍　□亀　　　　間中〳〵
常磐佐□□□栄　岸平□素
　寿牛書斎□        間中〳〵
【右側上段】
とうじ　
江戸　所々　　唐物屋
江戸　同　　　三味線屋
江戸　所々　　さかりば
江戸　所々　　御□□商人
同　　同　　　あはてた立退
江戸　難ギ　　両□の往来
江戸　なんぎ　□足の□
江戸　同　　　そんりやう
江戸　同　　　高利貸
江戸　同　　　べつかうや
江戸　同　　　□用張か
江戸　　　　　赤坂で少々の内祝
江戸　　　　　根津名人工
江戸　　　　　谷中名人工
江戸　　　　　音羽名人工
江戸　山持　　金のなる木取
江戸　坂本　　生□二度目
江戸　ざん念　能貸□質
江戸　息用　　□国の大じん
江戸　同　　　□□遺五民
【右側下段】
をあゐだ
江戸　所々　　持丸長者
江戸　所々　　貸本屋
江戸　所々　　家形船
江戸　所々　　雪踏屋
江戸　所々　　小間物屋
江戸　持合　　留寿居かご
江戸　喜楽　　茶の会道具
江戸　一もく　本所のかね
江戸　所々　　ぐそくや
江戸　同　　　ぜいたくや
同　　同　　　まきゑし
同　　同　　　したてやし
江戸　所々　　会席料理
江戸　同　　　茶見世の女
江戸　同　　　楊弓見勢
同　　同　　　刀かじ
同　　同　　　上衆より合
江戸　同　　　質見世よミ売
江戸　あ　　　夏のかつを
江戸　さ　　　三ケ町茶屋中
江戸　茶　　　出方の名残
【左側上段】
江戸　所々　　義太夫かたり
江戸　同　　　昔ものかたり
江戸　同　　　あやつり方
同　　同　　　はなし
同　　同　　　うつしゑ
同　　同　　　てしな
江戸　同　　　野だゐこ
江戸　同　　　基□□□
江戸　　　　　□□□□
江戸　　　　　豊□な栄
江戸　　　　　□□□□
江戸　亀　　　歌川由左衛門
江戸　　　　□□し□□
江戸　焼　　浅草大分
江戸　同　　本所大分
同　　同　　赤川大分
同　　同　　しまづやしま
江戸　同　　□□筋大分
江戸　同　　□辺大分
同　　同　　下谷大分
江戸　同　　京ばし大分
江戸　同　　小川町大分
江戸　同　　佃島大分
江戸　同　　二□□大分
【左側下段】
江戸　所々　まち□□中
江戸　同　　尾頭のか□こ
江戸　同　　つぢこわ色
江戸　　　　八人げゐ
江戸　　　　しん内一ふし
江戸　桧柳□　豊後流
江戸　所々　一中都ぶし
江戸　同　　河東ぶし
江戸　同　　はうたや
江戸　同　　てんぐれん
江戸　　　　両国ノ酒米
江戸　　　　□井の出米
江戸　所々　席□のこ□
江戸　焼　　坂本辺□ぶ□
江戸　同　  金杉ミのわ
江戸　同　  四谷□□□□
江戸　焼　　千住小塚原
江戸　□□□ 本所深川大分
板□
　仲ぶ戸外ニ出郎
江戸京ばしステキ
",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/83ac5ff4-60be-4894-ab4a-3bb46d19ff5a/canvas/p1
72fbd11c-4e94-49cd-adcd-96d3d8ef1e19,https://honkoku.org/app/#/transcription/197CF056EEAC60ADEA640DA5B3A57688/1/,豆州熱海温泉湧出之図,1,initiated,"【図題】
豆州熱海温泉湧出之図
【左下印内】
武田酔霞
弆蔵之印
【左下手書】栗原氏蔵",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/72fbd11c-4e94-49cd-adcd-96d3d8ef1e19/canvas/p1
0eadc6c3-350f-42c2-8d71-9bf3435ca5d5,https://honkoku.org/app/#/transcription/341AFA5BEF44F4F2DDFAB5623FE7C1BE/1/,[伊予道後富屋引札],1,completed,"【屋根上看板】
名産
伊豫縞絣

【店先のれん】
現きん
富屋
正札附

應需
半山直水画

　　　　　伊豫道后湯同町
御入湯　　　富屋利左衛
御宿　　　中程北側
　　

　　　　　　　　　　神田寿栄堂製",https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0eadc6c3-350f-42c2-8d71-9bf3435ca5d5/canvas/p1
